URL Number,Title,Category,Description,MP3 URL
"""24398""","""《魔兽故事》卷十一－安达希尔的倾倒与巨魔战争""","""Gadio Story""","""上回书说到：理念不合高等精灵毅然出走，跋山涉水太阳之城闪耀东方。故事的焦点移向蛮荒的东方大陆，在这里精灵再一次与巨魔兵刃见红，以血的代价建立了奎尔萨拉斯。往日的辉煌触手可及，可心怀千年仇怨的巨魔哪肯善罢甘休，阿曼尼大军卷土重来，高等精灵的繁荣危如累卵——精灵们疲于自保之时，新的种族已然登上了历史的舞台。被血肉诅咒弱化的维库人长久以来不过是茹毛饮血的蛮夷之辈，他们又是如何在伟人的领导下迅速崛起？请听本期的魔兽故事！ 提前两天偷跑，该是重新定义星期几呢？""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fc8a3571b-cf71-456e-a52c-e8cd13009231.mp3"""
"""24418""","""你想知道的核聚变信息都在这了！""","""Gadio Life""","""一年一度的周年节目终于来了！本期我们不再像以往那样忆苦思甜，而是来跟你讲讲举办核聚变的有趣经历！然后在节目的后半程特此来说今年核聚变的诸多细节！配合活动网站的上线，你在这期节目里会听到很多相关内容，买票、志愿者报名、能玩到什么游戏等等我们会一一说明！ 特此感谢赵畅不误为本次核聚变特别创作的主题曲！歌曲链接 真核聚变广告节目。""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F1d472685-93ea-47bc-931a-0346431edff5.mp3"""
"""24480""","""本周新闻有点多！别的话题全没说！GadioNews4.22~4.28""","""Gadio News""","""本期新闻：《风暴英雄2.0》上线；《漫威VS卡普空：无限》公布新预告；new 2DSLL公布；《仁王》东北之龙公布新情报；《信长之野望》新作公开；《战锤40K：战争黎明3》发售；《JOJO》真人电影、《王牌特工2》发布预告；《使命召唤：二战》公布正式预告；《尼尔：自动人形》Steam国区解锁后突然涨价！ 全都是新闻，包括核聚变的！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fddaa509b-a43d-49b8-94af-399e2c27b227.mp3"""
"""24496""","""和你一起看看迪士尼的动画世界""","""特别二次元""","""迪士尼可以说是欧美动画体系中最重要的一部分，迪士尼是如何发展至今？又有怎样的历史呢？本期节目我们请来曾在迪士尼动画中工作过的@老虎 来和大家聊聊迪士尼的动画王国。 第一期节目我们先和大家简单讲讲迪士尼发展初期的各种趣闻轶事！ 迪士尼有个好哥哥""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F263cba13-5411-4c32-bb0c-2462c210a7ef.mp3"""
"""24544""","""来听老年组的哥哥们倾诉自己的“中年危机”！""","""Gadio Life""","""“老年组”的哥哥们之所以好久没来录节目，就是因为他们最近琐事缠身，忙到憔悴，生活压力巨大，让他们不禁开始怀疑自己是否遭遇了中年危机。这就让他们想到了录这期的话题——中年危机。今天几位步入“中年”的哥哥们，就来跟大家聊聊随着年龄的增长所出现的一些问题，以及如何面对这些问题！ 三十而立，四十不惑""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Ff59b1ca7-3200-4fd6-b9b1-4315d8a63008.mp3"""
"""24564""","""在遥远黑暗的未来，兽人是唯一的良心""","""Gadio Story""","""很多刚接触《战锤40K》的朋友会好奇，为什么《战锤40K》的兽人看起来和其他作品里那些凶残野蛮的兽人没什么不同，但却被称为《战锤40K》最后的良心？今天我们就请来了大家的老朋友G君，让他跟我们介绍一下《战锤40K》的兽人欢乐的种族，讲讲这帮绿皮的知识，并解答一下大家的疑惑！WAAAGH！ 第一期战锤入门节目点这里：这期节目将是帮助你打开战锤40K世界的敲门砖 WAAAAAAAAGH！！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F0bca0431-d2ac-4d13-93c9-3a1b086c4557.mp3"""
"""24625""","""玩游戏的胜负心！GadioNews4.28~5.5开播！""","""Gadio News""","""本期新闻：《暗黑血统3》正式公布；《乐可乐可》登上PS4；《Code Vein》发布预告；《ARMS》新角色公开；《仁王》东北之龙发售；《美国众神》正式开播！本期话题：大家玩竞技游戏的时候，应该经常会出现和队友、对手甚至自己较劲的情况，今天几位主持人就结合自己的经历，和大家好好聊聊这件事！ 西总回来啦！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fcd215e38-57de-4e22-99e2-46cb72512d9a.mp3"""
"""24626""","""赞美那些核聚变上最可爱的人们""","""Gadio Life""","""每年的核聚变上，都有一群可爱的人们，他们就是为我们辛勤付出的志愿者。本期节目我们请来了三位志愿者”老兵“，让他们来跟大家分享一下志愿者们”相识、相知、相爱“的故事，他们因为核聚变变成了好朋友，其中也发生了一些感人的事迹，另外给”新兵“们也做做动员！核聚变还有不到两周了！来听！ 当然是志愿者啦~""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F94493bdc-ba58-4c82-a8d4-c31964670a34.mp3"""
"""24640""","""《异形》—电影的诞生""","""Gadio Pro""","""经过漫长的等待，《异形：契约》终于定档，将在大陆上映。借此机会，我们请来了读库的老朋友Red老师和徐辰老师，来为大家开坑异形系列专题节目！一共有四期！第一期我们先来讲讲《异形》电影的起源，拍摄之初是基于什么样的目的创作这部科幻经典，又是基于什么样的灵感来源诞生的呢？《异形》的爱好者们请千万别错过！ 听节目，看读库出品的《异形全书：经典四部曲终极档案》，预购链接点此进入。目前为全价预售阶段，预计17日左右发货。 《异形全书》是有史以来第一本全面整理记录《异形》系列四部电影幕后拍摄过程的著作。本书详细记录每部电影的缘起与幕后摄制过程，包括数百张摄人心魄的图片，从初期概念设计画稿，到片场工作照、特效工作照直至成片静照。此外，书中亦包含多张极为罕见的独家图片与原画，展示了本系列独特美学设计的演变过程。 啊，路边有个蛋！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F09c76c94-a359-4723-82ff-f3c477980193.mp3"""
"""24742""","""聊聊反乌托邦及相关题材的游戏""","""Gadio Pro""","""《Beholder》是七周年核聚变游戏体验区的一员。这是一款由俄罗斯制作组制作的反乌托邦作品，在登陆Steam后好评如潮，不少玩家被其中的反乌托邦思想所折服。今天，西蒙和老白就来跟大家介绍一下《Beholder》这款作品，聊聊这款作品中蕴含的反乌托邦的思想，以及这种思想的根源所在！ 到底什么是反乌托邦？""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F57a9451a-bfa8-44f1-8468-d42d3db6f37a.mp3"""
"""24752""","""我变强了！GadioNews5.6~5.11开播！""","""Gadio News""","""本期新闻：《暗黑血统3》实机演示公布；D.VA登陆《风暴英雄》；《NBA 2K18》公布；《Tokyo 42》发布预告 ；《真三国无双8》新情报；《生化危机：代号维罗妮卡》 登陆PS4！本期话题：大家玩游戏的过程中，除了游戏里的角色在成长，玩家自己肯定也在不断成长，今天我们就来跟大家聊聊变强这件事！ 但我还没有秃！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fc3c6613f-8c98-4a05-a7bd-cfe458851870.mp3"""
"""24770""","""《异形》— 怪物的诞生""","""Gadio Pro""","""1979年《异形》上映时，电影中可怕的黑色外星猎食者吓到了无数的观众，并从此成为了流行文化的重要元素。那么这个怪物是怎么诞生的呢？今天Red老师和徐辰老师就跟大家讲一讲异形这个形象设计和制作的完整历程，并跟大家分析一下异形的灵感来源！ 听节目，看读库出品的《异形全书：经典四部曲终极档案》，预购链接点此进入。目前为全价预售阶段，预计17日左右发货。 《异形全书》是有史以来第一本全面整理记录《异形》系列四部电影幕后拍摄过程的著作。本书详细记录每部电影的缘起与幕后摄制过程，包括数百张摄人心魄的图片，从初期概念设计画稿，到片场工作照、特效工作照直至成片静照。此外，书中亦包含多张极为罕见的独家图片与原画，展示了本系列独特美学设计的演变过程。 其实怪物并不邪恶，可怕！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fbe92de99-27ce-452a-bd1a-9a2eb5106fe4.mp3"""
"""24771""","""我们想用这一整期节目告诉你：别喝酒""","""Gadio Life""","""喝酒！是一个老生常谈的话题！办公室的成员们在业余时间里经常会组织喝酒局！当然，喝酒是为了尽兴！可是哈迪却每次在酒桌上不自觉地带出满满的套路，为什么，今天他公布一个隐藏多年的秘密！另外几位主播聊聊他们喝酒时遇到的逗儿事儿，顺便揭其他人的短儿，让大家乐呵乐呵！最后安利一些北京喝酒好去处，方便你在核聚变之后有地喝一口~！ 救救我！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F5f757f6a-a64e-4f66-860d-9be277a4ce44.mp3"""
"""24937""","""带你领略《东方project》的起源故事""","""特别二次元""","""上一期节目我们和大家简单介绍了《东方》世界的魅力。本期节目我们继续邀请到@THB wiki的大佬，按照作品的顺序和大家一部的详细讲讲《东方》世界是怎么创造出来的。 别着急，还有好几期呢！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F90a413f2-7e1d-4693-b2e0-3fb1878bb4bb.mp3"""
"""24971""","""《战锤40K》兽人教学第二期——如何Waaagh得有层次""","""Gadio Story""","""上期G君为我们介绍了战锤40K中兽人的基础知识，让我们知道晦暗未来中的这一群绿皮是多么的Waaagh。今天我们深入地讲讲“如何去Waaagh”，“为什么Waaagh”，“Waaagh有几种Waaagh法”。相信听罢之后，你会被兽人文化的丰富厚重打动，发自内心地感受Waaagh。 继续waaagh!""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F5095c4be-55d9-4b29-93dd-ebb2d62aedca.mp3"""
"""25000""","""你会如何排解压力？GadioNews5.20~5.26开播！""","""Gadio News""","""本期新闻：《怪物猎人XX》登陆NS；《神界：原罪2》公布发售日；国行PS4 PRO确认发售日；大量游戏中文化；《龙之信条》登陆PS4/XBOX ONE！本期话题：办公室众人最近处于核聚变后的恢复期，每个人都在用不同的方式发泄着压力。所以今天我们就想借此机会和大家聊聊这个话题，讲一讲自己缓解压力的方式！ 身心疲惫时怎么办？""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F78ba4e20-5d70-405f-9653-670350ea18a3.mp3"""
"""25017""","""KGS世纪末－关于洋快餐的集体回忆""","""Gadio Life""","""洋快餐！又被称为垃圾食品，虽然没什么营养，容易发胖，但是吃的时候很过瘾！当你喝着冰可乐听这期节目的时候，你想没想过再吃个汉堡来听呢！K.G.S这次带来了一期洋快餐的常规节目，西蒙也透露了自己在肯德基打工时学会的黑科技。端午节，吃点粽子的的同时，再给自己吃个炸鸡和和汉堡吧！ 听的时候，给自己点份鸡盒吧！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F2dd7b6f6-73c1-496d-8cfd-1bbcbee5b715.mp3"""
"""25095""","""核聚变总结会GadioNews5.27~6.1开播！""","""Gadio News""","""本期新闻：《失落的遗产》公开发售日；《夏日课堂》新情报；《ARMS》试玩会开启；《铁拳7》发售；育碧换新LOGO！本期话题：核聚变已经结束，这一次的核聚变规模扩大了很多，内容也丰富了不少，许多在场的玩家也得到了乐趣。但是同时也不能忽视其中存在的问题，今天我们就来总结总结七周年核聚变！ 广告：节目中提到的Kappa与Pac-man合作产品，今天是六一最后一天活动！这个系列仅在Kappa天猫有售。 希望我们能变得更好！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fef7b4076-5aba-4dd2-859a-deee998f3fb6.mp3"""
"""25126""","""来听PP熊给你讲述他的游戏店往事""","""Gadio Life""","""机核第一批创始人，头号任天堂粉丝PP熊，在移民加拿大的同时也在北美开了一家游戏店。不仅是卖最新的游戏，还会贩卖一些中古游戏，因为人生要进入新阶段，最近就把店关了，并没有失落的情绪，反而是一段美好的回忆。本期节目他就跟大伙聊聊在加拿大开游戏店的这段有趣的日子，从中我们可以了解到一些北美游戏圈的情况！ 真是一段美好的回忆！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fc644db45-2fed-4d5e-99e6-c70991bdf8da.mp3"""
"""25191""","""《异形》—科技的诞生""","""Gadio Pro""","""《异形》作为太空科幻惊悚电影，科幻要素也是这个系列非常重要的一点。今天这期节目，我们就给大家介绍一下《异形》系列电影中的飞船、地面载具、太空服、电脑等科技设定，跟大家聊聊这些硬件的设计的特色以及其背后的故事，并分析一下《异形》的科幻风格！ 听节目，看读库出品的《异形全书：经典四部曲终极档案》，购买链接点此进入。 《异形全书》是有史以来第一本全面整理记录《异形》系列四部电影幕后拍摄过程的著作。本书详细记录每部电影的缘起与幕后摄制过程，包括数百张摄人心魄的图片，从初期概念设计画稿，到片场工作照、特效工作照直至成片静照。此外，书中亦包含多张极为罕见的独家图片与原画，展示了本系列独特美学设计的演变过程。 聊完怪物，再聊聊科技！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fd84e4622-7d13-4bd3-9b3b-1be5931bd715.mp3"""
"""25229""","""E3大期待！GadioNews6.2~6.8开播！""","""Gadio News""","""本期新闻：E胖新作公布；Steam Direct取代绿光；《洛克人遗产合集》第二弹公开；《中土世界：战争之影》延期；《极品飞车：复仇》公布；《精灵宝可梦》直面会公开大量新情报！本期话题：距离E3还有不到24小时了，今天就按照惯例，为大家进行一次E3大预测，猜猜看今年各家展前发布会上会有哪些游戏！ 熬夜么今天！第一场就要开始了啊！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F1f5f1d03-5c81-4c0f-a627-9a15d8200cf9.mp3"""
"""25279""","""微软E3 2017展前发布会回顾""","""Gadio News""","""微软发布会展前发布会结束了，来听下发布会的相关内容以及我们的点评吧！整个发布会围绕着硬件天蝎座（已正式更名为XBOX ONE X）的性能展开，硬件性能参数搭配软件阵容，是否给你带来惊喜了么？ 发布会图文总结页面：点我进入。 XBOX ONE X正式公布！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F9cd25159-e3d2-4f19-aa8a-6276b31bce5c.mp3"""
"""25302""","""E3 2017第三方厂商展前发布会回顾！""","""Gadio News""","""伴随着育碧发布会的结束，E3期间的第三方厂商的展前发布会全部告一段落。本期节目包括了EA，Bethesda，PC Gaming，Devolver Digital,育碧五场展前发布会内容，如果您错过了，不妨来听听第三方厂商公布的新闻和我们对其的评论！ EA发布会图文总结页面：点我进入 育碧发布会图文总结页面：点我进入 Bethesda图文总结页面：点我进入 Devolver Digital发布图文总结页面：点我进入 分别是EA，Bethesda，PC Gaming，Devolver Digital,育碧五场展前发布会内容""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fe17a0b59-c668-4a32-b717-9b7def7b78fc.mp3"""
"""25304""","""E3 2017索尼展前发布会回顾！""","""Gadio News""","""最万众瞩目的索尼展前发布会也已经在今天早上落下了帷幕。不知道大家是否对于这场发布会有着过高的期待，其表现也许并没有满足你想看到的游戏，但发布会本身还是很优秀的，公布了许多劲爆的作品，又画了几张饼，如果您早上错过了不妨来听听节目，其中也有我们对其的评论！ E3 2017索尼展前发布会 图文总结：点我进入。 在高潮中戛然而止，是什么感觉？""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fa6562647-bfd0-4f2b-9720-5ec0e1f121ba.mp3"""
"""25329""","""E3 2017任天堂展前直面会回顾！""","""Gadio News""","""E3 2017任天堂直面会和第一天的树屋直播已经结束，其中展示了《异度之刃2》、《超级马里奥：奥德赛》等作品大量的新内容，并且公开了很多让人意想不到的新作品。这期节目我们就来跟大家总结一下任天堂直面会和第一天的树屋直播！ 直面会图文回顾：点我进入 直面会和树屋公开信息回顾与评论！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F7ea67d4d-1b87-48cd-a7bf-9bd516d0e711.mp3"""
"""25336""","""聊聊《纪念碑谷》系列与埃舍尔悖论空间的关系""","""Gadio Pro""","""等待了多时，手机平台的经典佳作《纪念碑谷》续作《纪念碑谷2》和我们见面了。一经问世它又吸引了众多粉丝，引发了大量的讨论。我们见到《纪念碑谷》的画面时总会觉得它有一种内在的美感与和谐，了解的朋友知道这款游戏与埃舍尔有着密不可分的联系。今天我们就从《纪念碑谷》聊起，谈谈它背后的埃舍尔，和改变世界的GEB。 游戏为什么这么美？""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F6a5a650d-8baf-4fbd-8a40-1f31487fad2d.mp3"""
"""25450""","""聊聊《美国众神》的作者尼尔·盖曼，顺便卖书！""","""Gadio Early Access""","""上个月，根据尼尔·盖曼的经典之作《美国众神》改编的美剧正式播出，随着美剧的播出，《美国众神》小说也在国内正式再版。今天这期节目，我们就来跟大家聊聊作者尼尔·盖曼以及他的几篇经典故事，跟大家说说尼尔·盖曼的故事为什么那么有魅力，通过这样的方式跟大家安利一下《美国众神》！ 购买链接在此 奥丁、洛奇、安纳西……古老的神明们其实一直居住在美国，以人的姿态生活在我们身边，但他们失去了人类的信仰，变得衰弱。高科技、汽车、媒体……新一代的神从这些事物中诞生，凭借人类的依赖和信仰而越发强大。 美国这片土地上，新神与旧神的纷争不断升级。为了夺回人们的信仰，北欧主神奥丁穿越整个美国去联合旧神，与新神决一死战。一场众神之战即将爆发。 Gadio Early Access第一期！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F54dcac2c-e4c9-4780-a89d-6b3df3e8748a.mp3"""
"""25493""","""DNF剧情故事：天界的历史就是战争的历史""","""Gadio Pro""","""上期节目我们和大家简单聊了聊DNF中世界的诞生。本期节目我们就和大家聊聊DNF中非常有特点的一个地区：天界。DNF中的天界有着和地上世界完全不同的科技体系，这种体系是怎么形成的呢？本期节目就和大家聊聊天界的历史！ 请大家放心，后面还有很多！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F9cb59d05-fe16-48f9-99c7-62bd9cda41fd.mp3"""
"""25534""","""E3见闻录！GadioNews6.12~6.18开播！""","""Gadio News""","""老孙和无头在E3期间作为前方报道团队去美国到现场参加了今年的展会，这期间还参加了不少试玩和采访活动。今天这期节目就让他们来跟大家聊聊一下E3的见闻，跟大家分享从试玩和采访中了解到的各种信息！ 来听E3现场的一些情报吧！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F4bd4ba72-fa7b-4672-a4b8-07f290dd09c5.mp3"""
"""25537""","""KGS世纪末－在你眼里，什么样才最“潇洒”？""","""Gadio Life""","""只要有哥哥们的节目那就势必有各种欢声笑语和人生百味。本期常规话题KGS几个老哥哥们围绕着自己学生时代，探讨当时痴迷的“炫酷拽”标杆！小时候觉得什么样儿最潇洒？现在看起来是不是太傻！另外，你觉得现在的生活里，怎么着算活的潇洒？ 探讨小时候的“酷炫帅""""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fb6dc126f-37d0-49ce-b85f-6cd529bfabc4.mp3"""
"""25546""","""独立游戏如何做好项目评估？希望《汐》的开发心得能让你少走弯路""","""Gadio Pro""","""今年五月，高难度横版过关游戏《汐》在Steam上正式发售，这距离游戏公布已经好几个年头了。今天这期节目，我们就请来了《汐》的制作人廖轶和椰岛游戏的老包两位机核的老朋友跟大家聊聊《汐》这几年的历程，也和大家分析一下独立游戏的开发经验。如果您是一位独立游戏制作人，请不要错过本期节目！ 《汐》跳票的这一年半里发生了不少故事。""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fbf410767-dbf2-4d21-b7f1-9065a369989c.mp3"""
"""25605""","""我们离攻壳世界还有多远？－聊聊脑机接口的发展""","""特别二次元""","""攻壳机动队的迷人之处，不仅在于视觉风格构建出的后现代都市空间。作为一个科幻作品，其中最核心的科幻要素就是无处不在的脑机接口，让其成为独特的一部作品。攻壳设定在2032年的近未来，大量现在的观众都可以活到那个时候而亲自体验，我们可以享受到义肢和电子脑带来的便利吗？还有15年的时间，现在的科技发展到何种程度？我们是否有希望在23年后实现攻壳中的一切。来和我们一起了解一下当下义肢和电子脑科技的进展。 PS：小李老师已经知道应该是草薙ti素子了。 手机入脑，迎接15年后的攻壳世界""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F5e2c4e11-fa61-48cd-9a86-688afbf15a25.mp3"""
"""25632""","""《魔兽故事》卷十二－矮人诞生与人类七国""","""Gadio Story""","""上回书说到：北地之冠倾倒祸患除而不尽，东方圣王出师基业可继千年。巨魔之战之后，人类作为新兴的魔法种族登上了历史舞台。东部王国北方的大地上，七大人类城邦欣欣向荣，索拉丁王朝的盛世似乎万世不绝，而在西方的暗夜精灵休养生息，一切平静而安详。在这近千年的和平之中，人类的七城邦是如何成为七个独立的王国的？这千年的和平，背后又怎样的暗流涌动，又是谁站出来守护整个艾泽拉斯？请听本期的魔兽节目！ 终于来了！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F1071f390-397d-4601-bd9b-653a38b70567.mp3"""
"""25676""","""哪些游戏你极度沉迷？GadioNews6.22~6.29开播！""","""Gadio News""","""本期新闻：《DJMAX RESPECT》发售日确认；MiniSfc公布；独立游戏《Somerville》公开；《塞尔达传说：荒野之息》DLC发售；《真三国无双8》PV公开！本期话题：大家平常肯定经常会遇到特别吸引自己的作品并沉迷其中，没有兴趣再玩其他游戏，今天这期节目我们就来和大家分享一下自己沉迷某些游戏的经历！ 办公室不少人最近在吃鸡。""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F1ef04ba1-a6bd-4e91-b068-3f72136df58c.mp3"""
"""25684""","""给你讲讲《异形》系列中那些恐怖恶心的特效是如何制作的""","""Gadio Pro""","""前几期节目我们聊到了《异形》电影的道具制作和场景制作方面的内容，这些东西光做出来可不够，还需要剧组用特效技术让它们呈现出效果。今天这期节目，我们就让范克里夫大尉和Red老师跟大家介绍一下《异形》剧组创造的精妙特效手法，讲讲我们在银幕上看到的效果到底是怎么实现的！！ 听节目，看读库出品的《异形全书：经典四部曲终极档案》，购买链接点此进入。 《异形全书》是有史以来第一本全面整理记录《异形》系列四部电影幕后拍摄过程的著作。本书详细记录每部电影的缘起与幕后摄制过程，包括数百张摄人心魄的图片，从初期概念设计画稿，到片场工作照、特效工作照直至成片静照。此外，书中亦包含多张极为罕见的独家图片与原画，展示了本系列独特美学设计的演变过程。 很多“土特效”，但根本看不出来，绝了！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F0aef444a-86b4-4078-ba6c-397017a04359.mp3"""
"""25748""","""《葱丝推拿》最终话""","""葱丝推拿""","""葱丝推拿大结局终于在录完好几个月后放出了！这期节目没有互动问答，没有胡逼，只有赖聪为我们在电台里一段八十多分钟的走心话语。葱丝推拿节目一年里录了七期，就这样完结了，因为赖聪已经回到了成都，不过没关系，马上就会有一个崭新的组合…… 最后一首曲子来自 玉置浩二 的 《纯情》 虽然是完结篇，但是没当你走。""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F58f07b59-cb18-4914-9ca9-7f8fd1712aad.mp3"""
"""25768""","""《魔法门》系列历史-《英雄无敌》的崛起""","""Gadio Pro""","""上一期节目陆夫人为我们介绍了《魔法门》系列的开发秘闻以及发展历史，也介绍了作为“舞台”的世界观是怎么搭建起来的。今天这期节目我们就书接上文，跟大家聊聊同一舞台上的《英雄无敌》系列诞生的故事和发展的历史，并讲述一下这个系列与中国游戏市场有怎么样的不解之缘！ 魔法门讲完了，该到英雄无敌了！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fe8d8a72b-22d6-4ce9-80b4-641576cc07b9.mp3"""
"""25802""","""你喜欢收藏游戏吗？GadioNews7.1~7.6开播！""","""Gadio News""","""本期新闻：《Splatoon2》召开直面会；《怪物猎人XX》NS版试玩报告；末日铁拳公布；《炉石传说》新卡包公布；《超级马里奥：奥德赛》中文官网上线！本期话题：有不少朋友喜欢收游戏，有时候只是为了收藏，也有时是为了补票或体验一下优秀的老游戏，今天这期节目我们就来和大家聊聊收游戏这件事！ 其中提到的文章列表： 买实体游戏的意义，就在于此。""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fbb091904-adbf-4adb-9c69-2d565f667bfb.mp3"""
"""25808""","""为何我们常说：游戏不止是游戏?""","""Gadio Life""","""“不止是游戏”一直是机核的Slogan。本期常规节目，安藤老师找来了一冰老师和机核程序员阿炳，他们除了本职工作外，更在生活中投入很多精力发展爱好，甚至是成了副业，今天，他们就来和大伙聊聊培养这些爱好成为副业对人生有着什么样的意义，新老组合第一次尝试，到底是BB，还是2B？ 题图来自Abing推荐的游戏《Californium》 在机核你甚至可以聊游戏""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Ff38c195d-5d7c-4378-8f72-47f5163ea98e.mp3"""
"""25852""","""《战锤40K》兽人教学第三期——兽人英雄传""","""Gadio Story""","""因为录音事故，导致G君本期声音有些爆炸，向全体听众和G君说声抱歉！ 在战火纷飞的《战锤40K》宇宙里不乏极具魅力又异常强大的英雄，兽人也是如此。今天这期节目，我们就来聊聊凶残、勇猛、强壮同时又胡逼的兽人英雄，为大家奉上一期兽人英雄传！ 继续waaagh!""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Ffbfe901f-b102-4cfa-8006-9fe414345e41.mp3"""
"""25866""","""“亮晶晶”的FGO是一个什么样的游戏？""","""特别二次元""","""《Fate Grand Order》是目前最火的“抽卡氪金”游戏之一，这款游戏从最初的不被人看好，一度差点关服，被商店强制下架，到现在《FGO》已经成为了型月最“吸金”的游戏企划，这款游戏究竟是如何发展到现在，又有怎样的故事呢？本期节目我们就和大家聊聊“亮晶晶”的《FGO》 “垃圾氪金手游”是怎么发展起来的？""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fc5117857-8915-495f-9a33-7500c5c4c272.mp3"""
"""26000""","""在西方的语境下，东方文明到底是什么样子？－通识之“东方”篇""","""Gadio Pro""","""数千年来，欧洲人都对他们东方的土地充满了好奇，无论是香料、丝绸、瓷器、茶叶的物产，还是远方的商人与士兵带回的消息，都激发了西方人对于东方文明的想象，有些一直持续至今。本期节目中我们将会梳理西方人对于东方的概念的历史，以及在包括游戏在内的各类艺术形式中描绘的东方。 老外口中的“东方”""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2F8db960ed-04b3-4cc6-bc75-e0ca2d591654.mp3"""
