URL Number,Title,Category,Description,MP3 URL
"""13233""","""外号儿！""","""Gadio Life""",""" 新闻：机核网TGS2013行程预热 JOJO二手崩值 KZM评测 XBOX1首发日期以及相关 三大厂商相关新闻都有！专题：外号！想必大家在不知道游戏人物角色名字的情况下都给他们起过很多奇怪的外号和昵称吧！来分享一下！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058688390_hd.mp3"""
"""13245""","""狩猎！下集""","""Gadio Pro""",""" 距离《怪物猎人4》发售还有两周的时间，想必全世界的猎人们都已经寂寞难耐了吧！机核网最新专题节目也应景上线，邀请系列“高玩”老刘和@光之虹 带领听众一起回顾曾经虐与被虐的点点滴滴！下集围绕3代以及4代展望！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058684550_hd.mp3"""
"""13263""","""Polyphony工作室游记""","""Gadio Pro""",""" 一年一度的东京游戏展马上就要拉开帷幕，机核网首次应邀进行采访，我们几位主持人来到东京之后充满了热情，迫不及待的向要亲临这次盛会，并且把我们的所见所闻分享给大家。从今天起，机核网会陆续放出与展会相关的报道，请大家关注。   来到这里的第一站就让我们惊讶了一下，能够亲临大名鼎鼎的Polyphony Digital Inc并且与大师山内一典亲密接触，却是我们从未想到的。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058684678_hd.mp3"""
"""13276""","""TGS2013特别节目 试玩串烧""","""Gadio Pro""",""" TGS2013即将落下帷幕 主持人首次远征东瀛大成功 在此为大家献上特别节目 分享我们的见闻 以及对于试玩游戏的体验  ""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058684806_hd.mp3"""
"""13332""","""横行霸道！""","""Gadio Life""",""" 新闻：口袋妖怪发售！超凡双生评测！2ds新闻！psv新闻！微软新闻！完美收购！专题：你是怎么横行霸道的？""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058685190_hd.mp3"""
"""13339""","""肥大和他的朋友们·下""","""Gadio Pro""","""  请来圈内达人 平底锅 为我们带来精彩的回忆体验！下集更是回忆满满！都来吧！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058685318_hd.mp3"""
"""13408""","""使命十年！""","""Gadio Pro""",""" 今天是COD的生日！几位粉丝跟大家分享这十年中最难忘的故事！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058685830_hd.mp3"""
"""13423""","""做游戏的流程！""","""Gadio Life""",""" 新闻：分辨率门 ，交换日记服务关闭 ，Capcom历史销量最高游戏生化5 ，次时代游戏机简短讨论。专题：从进入SE工作开始 ，姚姚丸细数自己的共走历程，与BRAN双双叙述了中日游戏公司在工作流程上的区别，搞游戏开发的朋友还有想入行的朋友可以大概了解一下！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058686086_hd.mp3"""
"""13445""","""林克的故事！""","""Gadio Pro""",""" 塞尔达传说新作也即将降临，我们也终于为这款神系列做一期节目！但是我们不说塞尔达的传说，我们请来太刀以及rocky从我们的角度，说说林克的故事！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058686342_hd.mp3"""
"""13451""","""玩不动了！""","""Gadio Life""",""" 新闻：机核香港索尼发布会见闻 微软X1偷跑 首发价格讨论 Ghost本时代不建议买 开发者版本的one拍卖等等。专题：老了，忙了，累了，玩不懂了，你别避讳这个问题，真的玩不动了。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058686470_hd.mp3"""
